run_id,run_timestamp,scoring_version,Stock,Name,Sector,Industry,CompositeScore,SharpeRatio,PotentialUpside_pct,Momentum,SharpeRatio_norm,PotentialUpside_pct_norm,Momentum_norm,sharpe_weight_used,upside_weight_used,momentum_weight_used,AnnualizedMeanReturn,AnnualizedStdDev,CurrentPrice,TargetPrice,forwardPE,forwardEps,SectorMedianPE
20250812-050603,2025-08-12 05:06:03,3.0.0,MTRE3.SA,Mitre Realty Empreendimentos e Participações S.A.,Real Estate,Real Estate - Development,0.549980115095538,-0.40943189538865693,2.707463963480647,0.11117646264180614,0.6758462620356703,0.2447869815436641,0.3729801440074686,0.6188139987986456,0.08126660041268753,0.2999194007886669,-0.07732156813577505,0.5552121627456209,3.5299999713897705,13.087347685015288,2.1137724,1.67,7.836735
20250812-050603,2025-08-12 05:06:03,3.0.0,VAMO3.SA,"Vamos Locação de Caminhões, Máquinas e Equipamentos S.A.",Industrials,Rental and Leasing Services,0.5497360391724785,-0.27413836493027927,1.3089004999000937,-0.05263158469031881,0.7178273700528744,0.1508359980787545,0.3110051728362671,0.6188139987986456,0.08126660041268753,0.2999194007886669,0.008414858684778379,0.5164732829395496,4.139999866485596,9.558847761314913,3.9056604,1.06,9.01778125
20250812-050603,2025-08-12 05:06:03,3.0.0,KEPL3.SA,Kepler Weber S.A.,Industrials,Farm and Heavy Construction Machinery,0.5459550475437445,-0.15009171649565908,0.5710866440980817,-0.2603672473503462,0.7563186100217214,0.10127204251168312,0.23241067205156246,0.6188139987986456,0.08126660041268753,0.2999194007886669,0.08838853376031632,0.41049211560896226,7.059999942779541,11.091871617434158,5.739837,1.23,9.01778125
20250812-050603,2025-08-12 05:06:03,3.0.0,CAML3.SA,Camil Alimentos S.A.,Consumer Defensive,Packaged Foods,0.5412452420740269,-0.34240300708579524,0.5977545060095488,0.02227201814742874,0.6966450910009715,0.10306350347769058,0.3393441262765487,0.6188139987986456,0.08126660041268753,0.2999194007886669,0.023750823864419998,0.36871515005108,4.590000152587891,7.333693426381819,4.882979,0.94,7.8018017
20250812-050603,2025-08-12 05:06:03,3.0.0,IRBR3.SA,IRB-Brasil Resseguros S.A.,Financial Services,Insurance - Reinsurance,0.5360061843990491,-0.2764778975016142,0.02508456899732847,-0.1079053746727443,0.7171014213008963,0.06459338382695866,0.290092942964322,0.6188139987986456,0.08126660041268753,0.2999194007886669,-0.014256086437335638,0.5941020527196993,46.380001068115234,47.54342340500454,7.6157637,6.09,7.806801849999999
20250812-050603,2025-08-12 05:06:03,3.0.0,VIVT3.SA,Telefônica Brasil S.A.,Communication Services,Telecom Services,0.5348565928666592,-0.1426227975661371,0.3575947858680151,-0.3605433637862252,0.7586361893715224,0.0869303479337949,0.19451014134339276,0.6188139987986456,0.08126660041268753,0.2999194007886669,0.10368190281987204,0.3247594211482867,32.91999816894531,44.69201786494476,7.8568015,4.19,10.66635275
20250812-050603,2025-08-12 05:06:03,3.0.0,TUPY3.SA,Tupy S.A.,Industrials,Metal Fabrication,0.5287444182622052,-0.2729609732775581,1.4724322463652886,-0.2474868010375102,0.7181927105535176,0.16182153345718134,0.23728384709949962,0.6188139987986456,0.08126660041268753,0.2999194007886669,0.05085137993301409,0.36323368456840704,15.720000267028809,38.866635573072976,3.647332,4.31,9.01778125
20250812-050603,2025-08-12 05:06:03,3.0.0,CSAN3.SA,Cosan S.A.,Energy,Oil and Gas Refining and Marketing,0.5261690991812842,-0.2684328844200596,0.4300826919673708,-0.22769640293360882,0.7195977606456697,0.09179985171012763,0.24477132632858237,0.6188139987986456,0.08126660041268753,0.2999194007886669,0.04765043292406528,0.38128550194979866,5.800000190734863,8.294479886177378,2.672811,2.17,3.82234075
20250812-050603,2025-08-12 05:06:03,3.0.0,FIQE3.SA,Unifique Telecomunicações S.A.,Communication Services,Telecom Services,0.525725246871814,-0.5033322082924133,0.6326050210847196,0.15614474500916575,0.6467093242567084,0.10540464869621956,0.3899933985375408,0.6188139987986456,0.08126660041268753,0.2999194007886669,-0.06675241225498887,0.4306348941792048,3.9200000762939458,6.399811807209979,6.5333333,0.6,10.66635275
20250812-050603,2025-08-12 05:06:03,3.0.0,SOJA3.SA,Boa Safra Sementes S.A.,Basic Materials,Agricultural Inputs,0.5237683121413816,-0.4373397626546049,0.25652004401918904,0.045320202505936935,0.6671865486979215,0.0801404727172298,0.34806415306663024,0.6188139987986456,0.08126660041268753,0.2999194007886669,-0.006264630672912421,0.35730716485599906,10.609999656677246,13.331677235651673,5.278607,2.01,6.6326754999999995
20250812-050603,2025-08-12 05:06:03,3.0.0,INTB3.SA,Intelbras S.A. - Indústria de Telecomunicação Eletrônica Brasileira,Technology,Communication Equipment,0.5232000966351339,-0.37574077248279963,0.6809226627925913,-0.08434358914952189,0.6863004993161945,0.10865047205380808,0.29900728510029206,0.6188139987986456,0.08126660041268753,0.2999194007886669,0.0067274215599352405,0.38130697792884155,12.859999656677246,21.616664866413725,6.3039217,2.04,10.596404849999999
